1,leak,v.泄露,64,low,a.& ad. 低，矮
2,learn,vt. 学，学习，学会,65,luck,n. 运气，好运
3,least,n. 最少，最少量,66,luggage,n. (总称)行李
4,leather,n. 皮革,67,lunch,n. 午餐，午饭
5,leave, v. 离开，把……留下，剩下,68,lung,n. 肺， 肺脏
6,lecture,n. 讲课，演讲,69,machine,n.机器
7,left,a. 左边的 ad. 向左 n. 左，左边,70,mad,a. 发疯的，生气的
8,leg,n. 腿，腿脚，支柱,71,madame, n. 夫人，女士
9,legal,a.法律允许的，法定的，合法的,72,magazine,n. 杂志
10,lemonade,n. 柠檬水,73,magic,a. 有魔力的
11,"lend(lent, lent)"," vt. 借（出）,把……借给",74,maid,n. 女仆， 侍女
12,length,n. 长，长度，段，节,75,mail,n. 邮政，邮递 v. （美）邮寄
13,less, a.& ad. 少于，小于,76,mailbox, n. 邮筒， 邮箱
14,lesson,n. 课，功课，教训,77,main,a. 主要的
15,"let(let, let)", vt. 让,78,major,a. 较大的， 主要的v.主修
16,letter,n. 信，字母,79,majority,n. 大多数 
17,level,n. 水平线，水平,80,make,vt. 制造，做，使得
18,liberate,vt. 解放，使获自由,81,male,a. 男（性）的，雄的
19,liberation,n. 解放,82,man, n. 成年男人，人，人类
20,liberty,n. 自由,83,manage,v. 管理，设法对付
21,librarian,n. 图书管理员，（西方的）图书馆馆长,84,manager,n. 经理
22,library,n. 图书馆，图书室,85,mankind,n. 人类，（总称）人
23,license/licence,n. 执照，许可证,86,manner,n.方式，态度，举止
24,lid,n. 盖子,87,many, pron. 许多人/物）a.许多的
25,Lie,n.& vi. 谎言; 说谎,88,map,n. 地图
26,life, n. 生命，生涯，生活，人生，生物,89,Marathon,n.马拉松比赛
27,lifetime,n. 一生，终生,90,Marble,n. 大理石
28,lift,v. 举起，抬起，（云、烟等）消散 n. （英）电梯,91,March,n. 三月
29,light,"n. 光，光亮，灯，灯光 vt. (lit/lighted, lit/lighted)点（火），点燃 a.明亮的，轻的，浅色的",92,march,n. 游行，行进
30,lightning,n.闪电,93,mark,n. 标记 vt. 标明，作记号于
31,like,prep. 像，跟……一样vt. 喜欢，喜爱,94,market,n. 市场，集市
32,likely,a.很可能的,95,marriage,n. 结婚，婚姻
33,limit,vt. 限制，减少,96,marry,v.成婚，结婚
34,line,n. 绳索，线，排，行，线路 v. 画线于，（使）成行,97,Marxsim,n.马克思主义
35,link,v. 连接， 联系,98,mask,n. 面具
36,lion,n. 狮子,99,mass,n. 众多， 大量，（复）群众
37,lip,n. 嘴唇,100,master,vt. 精通，掌握
38,liquid,n. & a. 液体，液体的,101,match,vt. 使相配，使成对n. 比赛，竞赛 n. 火柴
39,list,n. 一览表，清单,102,material,n. 材料，原料
40,listen,"vi. 听,仔细听",103,mathematics/maths,n. （通常作单数用）数学
41,literary,a. 文学的,104,matter,"n. 要紧事，要紧, 事情，问题 vi. 要紧，有重大关系"
42,literature,n. 文学,105,mature,ad. 成熟的
43,litre/liter,n. 升， 公升(容量单位),106,maximum,a.& n.最大量(的)，最大限度(的)
44,litter,n. 垃圾..杂物,107,May,n.五月
45,little, a. 小的，少的,108,maybe,ad. 可能，大概，也许
46,ad.,"很少地, 稍许 n. 没有多少，一点",109,me,pron. 我（宾格）
47,live,vi. 生活，居住，活着 livea. 活的，活着的，实况，现场（直播）的,110,meal,n. 一餐（饭） 
48,lively,a. 活泼的，充满生气的,111,mean,vt. 意思是，意指
49,load,n. 担子，货物,112,meaning,n. 意思，含意
50,loaf,n. 一个面包,113,means,n. 方法，手段，财产
51,local,a. 当地的， 地方的,114,meanwhile,ad. 同时
52,lock,n. 锁 vt. 锁，锁上,115,measure,v. 量
53,lonely,a. 孤独的，寂寞的,116,meat,n. （猪、牛、羊等的）肉
54,long,a. 长的，远 ad. 长久,117,medal,n. 奖牌
55,look,n. 看，瞧 v. 看，观看，看起来,118,media,n. 媒体
56,loose,a. 松散的， 宽松的,119,medical,a. 医学的，医疗的
57,lorry,n. （英）运货汽车，卡车,120,medicine,n. 药
58,lose, vt. 失去，丢失,121,medium,ad. 中等的
59,loss,n. 丧失， 损耗,122,meet, vt. n. 遇见，见到 会，集会
60,lot,n. 许多，好些,123,meeting,n. 会，集会，会见，汇合点
61,loud,a. 大声的,124,Member,n. 成员，会员
62,love,n.& vt. 爱，热爱，很喜欢,125,memorial,n. 纪念馆
63,lovely,a. 美好的，可爱的,126,memory,n. 回忆，记忆